tp,sl,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,avg_return_per_trade,avg_holding_days,exposure_pct
0.25,0.05,31.9289,15.5205,0.9771,17.5442,24.3678,1.2989,435,1.1527,9.26,100.0
0.25,0.1,40.0765,18.9752,0.8808,24.527,39.0698,1.2562,430,2.1403,16.3,100.0
0.35,0.15,45.2703,21.0335,0.8273,28.5352,45.4774,1.281,398,3.0436,25.04,100.0
0.3,0.15,42.9999,20.2489,0.8154,26.7807,46.4548,1.264,409,2.7198,23.44,100.0
0.35,0.25,182.8488,70.1518,0.8022,20.6353,51.9512,2.0373,410,6.452,31.58,100.0
0.35,0.2,43.2781,20.1821,0.7769,31.5628,49.0814,1.263,381,2.9562,28.92,100.0
0.3,0.25,177.9431,69.2594,0.7679,22.042,52.9126,2.0181,412,6.0871,30.09,100.0
0.25,0.08,30.5792,14.7459,0.76,29.4978,34.4111,1.2134,433,1.86,13.81,100.0
0.25,0.25,169.04,66.4462,0.7333,25.3169,54.4578,1.9724,415,5.6625,27.93,100.0
0.2,0.25,160.8195,63.8083,0.7032,25.9156,57.3171,1.9558,410,5.0986,25.24,100.0
0.25,0.15,33.8337,16.2115,0.699,30.5484,47.9319,1.2094,411,2.4267,21.48,100.0
0.35,0.1,32.1978,15.3375,0.683,27.7081,36.3855,1.2211,415,2.4682,19.56,100.0
0.6,0.15,38.1323,17.3495,0.6816,35.0393,44.1176,1.2794,340,3.3524,28.89,100.0
0.4,0.25,39.7152,18.6449,0.6713,28.6171,50.4225,1.2535,355,6.4053,32.64,100.0
0.1,0.25,139.2446,56.6865,0.6676,23.5248,69.2857,2.0174,420,4.1838,16.45,100.0
0.15,0.25,143.5426,58.1293,0.6666,27.2755,62.1359,1.9234,412,4.7293,21.52,100.0
0.4,0.2,33.9185,16.1025,0.6453,37.6276,48.4507,1.2236,355,2.8658,30.26,100.0
0.35,0.05,22.523,11.1561,0.6407,19.0253,22.093,1.2145,430,1.2279,11.02,100.0
0.4,0.15,31.8365,15.1762,0.63,34.4852,44.9198,1.2092,374,2.8867,26.3,100.0
0.3,0.2,29.9464,14.4371,0.6088,33.9295,49.354,1.1763,387,2.354,27.3,100.0
0.2,0.05,15.42,7.7529,0.6073,19.3394,26.1468,1.1464,436,0.7246,8.0,100.0
0.3,0.05,20.1167,10.0141,0.6017,19.516,23.2019,1.1935,431,1.1857,10.35,100.0
0.5,0.15,31.182,14.8612,0.6014,37.8955,44.2529,1.2211,348,3.2425,27.77,100.0
0.35,0.08,24.8661,12.0219,0.5994,25.5891,31.7647,1.1817,425,2.1196,16.62,100.0
0.3,0.1,23.114,11.3158,0.5478,29.0819,37.381,1.1559,420,2.2975,18.09,100.0
0.2,0.15,22.5267,11.0417,0.5413,34.4505,49.5098,1.1451,408,1.5161,19.37,100.0
0.2,0.1,19.7548,9.7395,0.5327,34.4754,40.7925,1.1299,429,1.3652,14.41,100.0
0.25,0.2,21.4996,10.5452,0.4919,38.6869,51.1568,1.1283,389,2.0754,25.08,100.0
0.4,0.05,15.6389,7.8592,0.4691,20.1349,20.979,1.1483,429,0.9348,11.85,100.0
0.3,0.08,16.7387,8.3058,0.4571,27.3126,32.8638,1.1228,426,1.9493,15.52,100.0
0.6,0.1,18.4319,8.739,0.4404,33.2783,33.6088,1.1392,363,2.1448,22.43,100.0
0.5,0.2,16.7781,8.2399,0.4058,38.3102,45.4545,1.1217,319,1.9774,31.24,100.0
0.5,0.1,14.3655,7.0925,0.381,34.9071,33.9674,1.1042,368,2.0874,21.55,100.0
0.2,0.2,13.9399,6.9593,0.3797,36.5485,53.5714,1.0875,392,1.5023,23.03,100.0
0.6,0.2,14.6295,6.9958,0.374,39.1956,45.2769,1.1098,307,2.2141,32.33,100.0
0.5,0.05,11.719,5.9398,0.3694,19.8999,20.3271,1.1106,428,1.1345,12.54,100.0
0.2,0.08,10.4494,5.265,0.3557,37.8282,35.7968,1.0745,433,1.0584,12.28,100.0
0.1,0.05,5.7476,2.9526,0.3496,14.5284,40.7323,1.0659,437,0.7032,4.38,100.0
0.4,0.08,9.6426,4.8184,0.3106,34.2865,29.902,1.0725,408,1.67,17.46,100.0
0.5,0.08,9.6297,4.8052,0.308,36.8299,29.8969,1.0759,388,2.0274,18.48,100.0
0.6,0.05,7.4381,3.8063,0.2744,25.0661,19.9519,1.0723,416,0.9918,13.14,100.0
0.6,0.08,6.4,3.12,0.2519,39.287,29.5265,1.053,359,1.9105,19.4,100.0
0.15,0.05,4.0821,2.1051,0.2362,20.0054,31.422,1.0408,436,0.674,6.31,100.0
0.6,0.25,3.114,1.5303,0.2134,48.6483,48.3395,1.0275,271,2.1348,35.51,100.0
0.15,0.15,4.1664,2.1267,0.2071,33.0245,54.9637,1.0282,413,1.3208,15.96,100.0
0.4,0.1,1.9464,0.9903,0.1757,36.8658,35.1801,1.0143,361,2.0215,20.92,100.0
0.5,0.25,0.8269,0.4213,0.1728,45.0272,49.1039,1.0071,279,1.914,34.88,100.0
0.15,0.1,2.5109,1.2867,0.1647,30.4611,45.6019,1.0177,432,0.9838,11.69,100.0
0.1,0.15,0.4072,0.2118,0.1118,32.317,62.6168,1.0031,428,0.8145,11.85,100.0
0.1,0.2,-0.4324,-0.2235,0.1051,38.8353,67.0588,0.9968,425,1.045,14.49,100.0
0.1,0.1,-0.8458,-0.4413,0.0562,25.3878,54.2529,0.9932,435,0.682,8.26,100.0
0.15,0.2,-4.3986,-2.2923,0.0515,39.9478,58.9109,0.9712,404,1.3554,19.12,100.0
0.15,0.08,-3.4457,-1.8092,-0.01,33.5497,40.9195,0.9739,435,0.8555,9.74,100.0
0.1,0.08,-4.5389,-2.3896,-0.0853,29.3729,49.6552,0.9607,435,0.5867,6.87,100.0
